svy_geoid,tsi6_mean,tsi6_se,fsi6_mean,fsi6_se,nhd_cohes_mean,nhd_cohes_se,prop_black_2024,poverty_rate_2024,median_income_2024,black_stratum_2024,poverty_stratum_2024,income_quartile_2024,pop_density_2024,region
24005400100,0.7415753393496872,0.30529845706763464,0.3800711201833571,0.2453424259450015,10.293616668390717,0.5075211844926278,0.17583388557543628,0.03822098679638638,77646,> 10% to ≤ 25%,Low poverty,Q3,6254.684755744635,Baltimore County
24005400200,0,0,0.697220764754068,0.2539645234224277,9.265483966476209,0.3202959497848152,0.21515151515151515,0.13094784925770842,103674,> 10% to ≤ 25%,Low poverty,Q3,7410.528122876437,Baltimore County
24005400400,0.09702693626705705,0.0789288043288853,0.12017915681362912,0.09435099586761075,11.620646688070131,0.9053743193696085,0.10033382789317508,0.04703437854174537,143462,> 10% to ≤ 25%,Low poverty,Q4 (highest),1557.492420766513,Baltimore County
24005400500,0,0,0.1985622970646379,0.14588562436531094,12.303581582334662,0.5097031304056425,0.02013177159590044,0.023792093704245974,188500,≤ 10%,Low poverty,Q4 (highest),1220.6054264638353,Baltimore County
24005400600,3.5386504724766024,1.7396898121556255,3.5386504724766024,1.739690174906364,10.746629069822335,0.7918603722912841,0.2675875361387729,0.08062930186823992,95175,> 25% to ≤ 50%,Low poverty,Q3,8321.68675260871,Baltimore County
24005400701,0.9498108244590678,0.8814095136798653,1.6763912290829137,0.896942157471367,9.193510084554273,0.5201557421374963,0.35906751438086587,0.08658795034816834,88438,> 25% to ≤ 50%,Low poverty,Q3,7208.754901349441,Baltimore County
24005400702,0.10391525280446404,0.1074494605754844,2.5910082899054827,1.4925753532938404,11.008909399757282,1.1391258522423406,0.39517543859649124,0.16317991631799164,102750,> 25% to ≤ 50%,Low poverty,Q3,8411.064164359212,Baltimore County
24005400800,1.4651440043527082,0.6896662907915604,0,0,10.314856659868965,0.3051351803043183,0.28784581908610507,0.0457089552238806,115040,> 25% to ≤ 50%,Low poverty,Q4 (highest),5656.953739486556,Baltimore County
24005400900,0.161422530992728,0.16685942370876028,0,0,9.91273885017985,1.0964915347077884,0.22719220549158547,0.05042391789379741,86250,> 10% to ≤ 25%,Low poverty,Q3,5715.635876746495,Baltimore County
24005401000,0.25791904998386067,0.20709088336975545,0,0,11.68612229421639,0.7508857827974338,0.15178956446744285,0.05519317611640743,115862,> 10% to ≤ 25%,Low poverty,Q4 (highest),4430.638323047619,Baltimore County
24005401101,0.7041239300389234,0.34181690521536034,1.4767273804788108,0.6817702173993894,9.748928583762083,0.20872988342300924,0.5719918224299065,0.13846604215456673,78902,> 50% to ≤ 75%,Low poverty,Q3,6054.073533342185,Baltimore County
24005401102,0,0,1.8507001347657177,0.19540403223595898,10,0,0.7861873226111636,0.05397727272727273,88125,> 75% to ≤ 90%,Low poverty,Q3,790.2329134429673,Baltimore County
24005401200,0.8230157795686077,0.7843434111890967,0.16698740995632905,0.1723288912741627,7.326842718638733,2.1320551287687937,0.7451463790446842,0.07314814814814814,73190,> 50% to ≤ 75%,Low poverty,Q2,4298.553883372247,Baltimore County
24005401301,0.5391502273786701,0.46996889228656746,2.6114185275047657,1.0245562633608314,7.870219648231573,0.9962385334673287,0.841055538508745,0.08929119361767414,75514,> 75% to ≤ 90%,Low poverty,Q2,7322.697501314321,Baltimore County
24005401302,0.37830827841069986,0.3908706981193234,1.9191610666688197,0.810883520966056,11.999999999999998,1.776356839400126e-15,0.7927835051546391,0.14467353951890036,63013,> 75% to ≤ 90%,Low poverty,Q2,12641.419849581685,Baltimore County
24005401400,0,0,0,0,9,0,0.009195402298850575,0.027011494252873563,188913,≤ 10%,Low poverty,Q4 (highest),1615.6545338453336,Baltimore County
24005401503,0.06797581248931088,0.06866421906551176,0.26436795587528933,0.18191080837195153,9.331086705272554,0.39118736885728417,0.09487098804279422,0.08496216897856242,131038,≤ 10%,Low poverty,Q4 (highest),2547.90901799575,Baltimore County
24005401504,0.3264229805554012,0.20211025624426007,0.2993093887686475,0.19069174851297369,9.481005695864923,0.8323062879045575,0.2800559832050385,0.1318404478656403,127348,> 25% to ≤ 50%,Low poverty,Q4 (highest),3257.513923520315,Baltimore County
24005401505,2.9888926700245095,1.1858016384257763,0.274743537776614,0.19199400131633873,6,0,0.37264833574529665,0.15806451612903225,100083,> 25% to ≤ 50%,Low poverty,Q3,4684.752670871188,Baltimore County
24005401506,0,0,1.8496802443441753,1.1687325253089957,9.3198420688932,0.40345559828892563,0.6271117443517199,0.1097089354773051,93477,> 50% to ≤ 75%,Low poverty,Q3,3606.7113366441454,Baltimore County
24005401507,2.147110615015825,1.35318965307724,1.45767613210632,0.6164149175657766,8.028407637231593,1.3167470647597335,0.5674219616542545,0.07674013001426985,76759,> 50% to ≤ 75%,Low poverty,Q3,6019.117908751085,Baltimore County
